id,type,status,tier,title,price,price_display,bedrooms,bathrooms,garage,garden,pool,pet_friendly,property_type,suburb,city,province,description,imageUrl,image2,image3,agent_name,agent_phone,agent_agency,featured,date_listed
HC001,sale,active,enhanced,Architect-Designed Sandton Mansion,4850000,"R 4,850,000",4,4,3,yes,yes,yes,house,Sandton,Johannesburg,Gauteng,"Striking double-storey residence with floor-to-ceiling glass, designer pool and landscaped grounds. Walking distance to Sandton CBD.",https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-04-sandton-mansion.jpg,https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-06-cpt-mountain.jpg,https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-02-bushveld-lodge.jpg,Sarah Mokoena,0821234567,Mokoena Properties,yes,2026-05-12
HC002,sale,active,basic,Family Home in Faerie Glen,2100000,"R 2,100,000",3,2,2,yes,no,yes,house,Faerie Glen,Pretoria,Gauteng,"Sun-filled face-brick home in a quiet cul-de-sac. Open-plan living, large garden, close to top schools.",https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-01-karoo-farmhouse.jpg,,,Pieter van der Merwe,0834567890,PVDM Realty,no,2026-05-10
HC003,rent,active,basic,Modern 3-Bed in Garsfontein,13500,"R 13,500/mo",3,2,2,yes,no,yes,house,Garsfontein,Pretoria,Gauteng,Neat lock-up-and-go family home in a secure boomed area. Available 1 June.,https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-01-karoo-farmhouse.jpg,,,Lerato Dube,0845678901,Capital Letting,no,2026-05-08
HC004,sale,active,basic,Midrand Townhouse Move-In Ready,1450000,"R 1,450,000",2,2,1,no,no,no,townhouse,Carlswald,Midrand,Gauteng,Bright modern townhouse in a secure complex with pool and clubhouse.,https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-04-sandton-mansion.jpg,,,Thabo Sithole,0826543210,Sithole Properties,no,2026-05-09
HC005,sale,active,enhanced,Family Home in Centurion,1800000,"R 1,800,000",3,2,2,yes,no,yes,house,Eldoraigne,Centurion,Gauteng,"Established family home with separate flatlet, ideal for extended family or rental income.",https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-01-karoo-farmhouse.jpg,,,Pieter van der Merwe,0834567890,PVDM Realty,no,2026-05-07
HC006,sale,active,agency,Bryanston Executive Residence,3500000,"R 3,500,000",4,3,2,yes,yes,yes,house,Bryanston,Sandton,Gauteng,Generous family living with entertainment patio overlooking pool and koi pond.,https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-04-sandton-mansion.jpg,https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-06-cpt-mountain.jpg,,Sarah Mokoena,0821234567,Mokoena Properties,yes,2026-05-11
HC007,rent,active,basic,Fourways Apartment with Views,12000,"R 12,000/mo",2,2,1,no,yes,no,apartment,Fourways,Sandton,Gauteng,"Sleek apartment in a security complex with gym, pool and concierge.",https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-04-sandton-mansion.jpg,,,Lerato Dube,0845678901,Capital Letting,no,2026-05-06
HC008,sale,active,basic,Randburg Townhouse Pet Friendly,1650000,"R 1,650,000",3,2,2,yes,no,yes,townhouse,Ferndale,Randburg,Gauteng,"Spacious end-unit with private garden, ideal for a young family.",https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-01-karoo-farmhouse.jpg,,,Thabo Sithole,0826543210,Sithole Properties,no,2026-05-05
HC009,rent,active,enhanced,Sea Point Apartment with Ocean Views,22500,"R 22,500/mo",2,2,1,no,yes,no,apartment,Sea Point,Cape Town,Western Cape,"Renovated apartment on the Promenade, panoramic Atlantic views, walk to cafes.",https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-06-cpt-mountain.jpg,https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-03-kzn-ocean-modern.jpg,,Marius Joubert,0823344556,Atlantic Letting,no,2026-05-10
HC010,sale,active,enhanced,Cape Dutch Estate in Stellenbosch,3200000,"R 3,200,000",3,3,2,yes,yes,yes,house,Mostertsdrift,Stellenbosch,Western Cape,"Heritage Cape Dutch home with rose garden, mountain views and original yellowwood floors.",https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-05-cape-dutch.jpg,https://res.cloudinary.com/dkn6tnxao/image/upload/c_fill/w_900/h_600/q_auto/f_auto/homesconnect/property-06-cpt-mountain.jpg,,Elsabe Smit,0824455667,Cape Heritage Realty,yes,2026-05-13
